Date,Time,Open,High,Low,Close,TickVol,Vol,Spread
2025.03.05,17:15:00,2916.92,2919.91,2915.53,2918.33,2804,0,15
2025.03.05,17:30:00,2918.31,2923.8,2917.58,2919.7,2840,0,15
2025.03.05,17:45:00,2919.74,2921.0,2916.0,2917.24,2796,0,15
2025.03.05,18:00:00,2917.23,2924.65,2915.24,2923.16,2334,0,15
2025.03.05,18:15:00,2923.19,2929.62,2922.8,2928.54,2547,0,15
2025.03.05,18:30:00,2928.53,2930.04,2925.89,2928.22,2311,0,15
2025.03.05,18:45:00,2928.21,2929.07,2922.76,2923.84,2115,0,15
2025.03.05,19:00:00,2923.86,2925.37,2919.35,2921.41,2407,0,15
2025.03.05,19:15:00,2921.22,2921.78,2917.41,2918.31,2189,0,15
2025.03.05,19:30:00,2918.36,2918.41,2916.13,2916.88,1781,0,15
2025.03.05,19:45:00,2916.89,2917.93,2913.78,2915.95,1831,0,15
2025.03.05,20:00:00,2916.03,2918.95,2911.29,2916.98,2156,0,15
2025.03.05,20:15:00,2917.02,2920.72,2916.32,2916.5,1834,0,15
2025.03.05,20:30:00,2916.65,2917.54,2913.55,2915.09,1887,0,15
2025.03.05,20:45:00,2915.05,2918.4,2915.05,2917.49,1725,0,11
2025.03.05,21:00:00,2917.52,2918.47,2916.38,2917.41,1838,0,11
2025.03.05,21:15:00,2917.36,2919.03,2916.91,2918.52,1838,0,11
2025.03.05,21:30:00,2918.57,2919.5,2917.81,2918.51,1417,0,11
2025.03.05,21:45:00,2918.53,2921.43,2918.47,2920.7,1247,0,15
2025.03.05,22:00:00,2920.6,2921.35,2919.94,2921.26,1530,0,15
2025.03.05,22:15:00,2921.25,2922.61,2919.68,2922.2,1548,0,15
2025.03.05,22:30:00,2922.16,2922.79,2921.4,2922.65,1888,0,15
2025.03.05,22:45:00,2922.63,2923.15,2922.0,2922.14,1938,0,11
2025.03.05,23:00:00,2921.62,2921.72,2919.08,2919.2,578,0,11
2025.03.05,23:15:00,2919.43,2919.98,2918.15,2919.75,525,0,11
2025.03.05,23:30:00,2919.73,2919.81,2918.41,2918.41,297,0,10
2025.03.05,23:45:00,2918.41,2919.55,2917.87,2918.86,268,0,10
2025.03.06,01:00:00,2918.52,2919.09,2917.08,2917.72,527,0,11
2025.03.06,01:15:00,2917.65,2918.05,2916.77,2917.6,277,0,11
2025.03.06,01:30:00,2917.6,2918.65,2917.06,2918.61,312,0,11
2025.03.06,01:45:00,2918.62,2918.62,2917.56,2918.32,246,0,11
2025.03.06,02:00:00,2918.32,2919.41,2917.52,2919.35,356,0,11
2025.03.06,02:15:00,2919.34,2920.32,2917.6,2918.87,972,0,11
2025.03.06,02:30:00,2918.88,2918.94,2917.87,2918.03,264,0,11
2025.03.06,02:45:00,2918.03,2918.09,2916.71,2916.84,899,0,11
2025.03.06,03:00:00,2916.85,2919.47,2916.04,2918.73,2296,0,11
2025.03.06,03:15:00,2918.76,2919.21,2918.2,2918.93,1656,0,11
2025.03.06,03:30:00,2918.92,2923.0,2918.92,2922.65,1407,0,11
2025.03.06,03:45:00,2922.64,2925.67,2922.13,2924.58,1607,0,11
2025.03.06,04:00:00,2924.66,2926.55,2924.22,2924.66,1564,0,11
2025.03.06,04:15:00,2924.66,2924.8,2923.26,2923.45,1258,0,11
2025.03.06,04:30:00,2923.41,2923.82,2922.99,2923.46,1078,0,11
2025.03.06,04:45:00,2923.44,2925.64,2923.1,2925.62,1186,0,11
2025.03.06,05:00:00,2925.65,2925.65,2922.27,2923.41,1202,0,11
2025.03.06,05:15:00,2923.41,2924.72,2922.28,2923.06,1036,0,11
2025.03.06,05:30:00,2923.15,2923.64,2920.37,2920.84,790,0,11
2025.03.06,05:45:00,2920.86,2921.51,2920.2,2921.3,890,0,11
2025.03.06,06:00:00,2921.3,2921.57,2918.09,2919.17,1042,0,11
2025.03.06,06:15:00,2919.19,2919.19,2916.85,2917.31,1000,0,11
2025.03.06,06:30:00,2917.24,2918.01,2916.41,2916.68,720,0,11
2025.03.06,06:45:00,2916.61,2918.09,2916.44,2917.41,552,0,11
2025.03.06,07:00:00,2917.35,2917.49,2915.39,2915.91,1128,0,11
2025.03.06,07:15:00,2915.89,2916.56,2914.6,2916.08,818,0,11
2025.03.06,07:30:00,2916.1,2919.62,2916.02,2918.94,1156,0,11
2025.03.06,07:45:00,2918.95,2920.72,2915.41,2919.84,1486,0,11
2025.03.06,08:00:00,2919.86,2922.86,2919.86,2922.25,1231,0,11
2025.03.06,08:15:00,2922.25,2922.39,2920.56,2921.5,1197,0,11
2025.03.06,08:30:00,2921.42,2921.79,2919.94,2921.65,1262,0,11
2025.03.06,08:45:00,2921.68,2923.11,2920.04,2920.69,1380,0,11
2025.03.06,09:00:00,2920.65,2922.61,2919.43,2921.66,1696,0,12
2025.03.06,09:15:00,2921.65,2921.65,2915.66,2916.27,1858,0,15
2025.03.06,09:30:00,2916.19,2917.28,2911.69,2915.19,1614,0,15
2025.03.06,09:45:00,2915.23,2916.37,2909.86,2909.97,1621,0,15
2025.03.06,10:00:00,2910.18,2911.37,2904.75,2907.41,2082,0,15
2025.03.06,10:15:00,2907.37,2908.86,2905.27,2908.02,1694,0,15
2025.03.06,10:30:00,2908.13,2908.13,2903.27,2904.56,1848,0,15
2025.03.06,10:45:00,2904.66,2905.43,2901.13,2904.79,2118,0,15
2025.03.06,11:00:00,2904.77,2905.27,2899.56,2904.58,2097,0,15
2025.03.06,11:15:00,2904.54,2904.83,2899.34,2900.11,1800,0,15
2025.03.06,11:30:00,2900.07,2900.86,2895.63,2898.84,2095,0,15
2025.03.06,11:45:00,2899.01,2899.16,2891.29,2894.26,1925,0,15
2025.03.06,12:00:00,2894.28,2896.75,2891.95,2894.5,1811,0,15
2025.03.06,12:15:00,2894.69,2899.56,2894.39,2899.47,1940,0,15
2025.03.06,12:30:00,2899.51,2905.2,2899.11,2902.29,1695,0,15
2025.03.06,12:45:00,2902.22,2905.1,2898.84,2899.24,2159,0,15
2025.03.06,13:00:00,2899.23,2904.58,2898.6,2899.81,1765,0,15
2025.03.06,13:15:00,2899.8,2905.07,2899.19,2903.63,1268,0,15
2025.03.06,13:30:00,2903.72,2907.61,2902.9,2906.5,1626,0,15
2025.03.06,13:45:00,2906.46,2906.46,2903.8,2905.82,1796,0,15
2025.03.06,14:00:00,2905.75,2905.99,2903.47,2903.87,1640,0,15
2025.03.06,14:15:00,2903.82,2907.16,2902.91,2903.8,1595,0,15
2025.03.06,14:30:00,2903.82,2904.28,2899.22,2902.05,2001,0,15
2025.03.06,14:45:00,2901.95,2904.09,2899.46,2903.16,1605,0,15
2025.03.06,15:00:00,2902.93,2907.42,2901.0,2907.2,2140,0,10
2025.03.06,15:15:00,2907.21,2909.43,2901.13,2904.9,2466,0,10
2025.03.06,15:30:00,2905.0,2907.6,2900.9,2904.04,2011,0,10
2025.03.06,15:45:00,2903.94,2905.74,2901.95,2904.45,2124,0,15
2025.03.06,16:00:00,2904.38,2911.38,2903.44,2908.95,1764,0,15
2025.03.06,16:15:00,2908.92,2911.39,2906.38,2908.85,1531,0,15
2025.03.06,16:30:00,2908.86,2914.18,2908.69,2912.65,2794,0,15
2025.03.06,16:45:00,2912.67,2916.59,2910.83,2915.12,2806,0,15
2025.03.06,17:00:00,2915.16,2922.85,2915.03,2916.97,2750,0,15
2025.03.06,17:15:00,2916.81,2918.15,2909.29,2913.4,2747,0,15
2025.03.06,17:30:00,2913.42,2913.82,2909.03,2913.74,2750,0,15
2025.03.06,17:45:00,2913.63,2916.24,2912.59,2914.55,2212,0,15
2025.03.06,18:00:00,2914.51,2916.47,2912.56,2914.29,1937,0,15
2025.03.06,18:15:00,2914.02,2918.33,2913.9,2917.28,2023,0,15
2025.03.06,18:30:00,2917.24,2918.19,2915.13,2917.85,2037,0,15
2025.03.06,18:45:00,2917.76,2918.5,2916.18,2917.22,1613,0,15
2025.03.06,19:00:00,2917.26,2920.15,2915.59,2919.81,1784,0,15
2025.03.06,19:15:00,2919.85,2920.52,2916.69,2920.25,1514,0,15
2025.03.06,19:30:00,2920.24,2921.41,2918.25,2919.03,1533,0,15
2025.03.06,19:45:00,2919.04,2919.34,2914.43,2915.61,1716,0,15
2025.03.06,20:00:00,2915.59,2920.04,2915.34,2919.85,1599,0,15
2025.03.06,20:15:00,2919.84,2920.62,2918.17,2918.54,1662,0,15
2025.03.06,20:30:00,2918.5,2919.82,2913.98,2914.03,1420,0,15
2025.03.06,20:45:00,2914.05,2916.74,2913.77,2916.34,1498,0,11
2025.03.06,21:00:00,2916.33,2917.4,2914.61,2917.17,1511,0,11
2025.03.06,21:15:00,2917.16,2917.55,2912.36,2913.6,1479,0,11
2025.03.06,21:30:00,2913.6,2915.08,2912.68,2914.13,1384,0,11
2025.03.06,21:45:00,2914.15,2917.75,2913.36,2914.06,1573,0,15
2025.03.06,22:00:00,2913.77,2916.61,2912.99,2915.51,1496,0,15
2025.03.06,22:15:00,2915.5,2916.59,2914.08,2914.81,1436,0,15
2025.03.06,22:30:00,2914.72,2914.87,2912.95,2913.23,1367,0,15
2025.03.06,22:45:00,2913.14,2913.71,2908.36,2908.75,1909,0,11
2025.03.06,23:00:00,2909.79,2911.51,2909.79,2910.91,398,0,11
2025.03.06,23:15:00,2910.81,2911.1,2908.49,2909.95,431,0,11
2025.03.06,23:30:00,2909.97,2911.16,2909.27,2910.54,378,0,10
2025.03.06,23:45:00,2910.55,2911.95,2910.34,2910.85,338,0,10
2025.03.07,01:00:00,2912.11,2913.61,2910.41,2911.12,535,0,11
2025.03.07,01:15:00,2911.15,2913.4,2910.83,2912.58,569,0,11
2025.03.07,01:30:00,2912.6,2913.56,2911.49,2911.54,495,0,11
2025.03.07,01:45:00,2911.48,2911.64,2909.97,2910.29,887,0,11
2025.03.07,02:00:00,2910.27,2910.27,2895.9,2899.82,1903,0,11
2025.03.07,02:15:00,2899.74,2905.5,2898.37,2902.49,1015,0,11
2025.03.07,02:30:00,2902.47,2906.14,2902.47,2905.24,893,0,11
2025.03.07,02:45:00,2904.95,2906.37,2902.11,2904.81,938,0,11
